PERSON,GPE
Joe Torre,Fort Myers
Bernie,Fort Myers
Kadyrov,Moscow
Óscar Arias,Costa Rica
Helgi Tomasson,Iceland
Olafur Ragnar Grimsson,Iceland
Kahn,Canada
Paul G. Desmarais Sr .,Canada
Brian Mulroney,Canada
José Luis Rodríguez Zapatero,Italy
Romano Prodi,Spain
E. On 's,Spain
Rice,Israel
Juan Carlos,Iraq
Zapatero,Spain
explorer,Normandy
Felipe Calderón,Mexico
Stephen Harper,Canada
Marco Materazzi,Italy
Jorge Vázquez,the Dominican Republic
José Reyes,Nagua
Ehud Olmert,Saudi Arabia
Abdullah,Israel
Mahmoud Abbas,Israel
Tzipi Livni,Israel
King Abdullah,Israel
Mahmoud Ahmadinejad,Saudi Arabia
Hosseini,Israel
Condoleezza Rice 's,Israel
Hosni Mubarak,Israel
Pelosi,Israel
Assad,Israel
Amir Peretz,Israel
Miri Eisin,Israel
Moshe Katsav,Israel
Katsav,Israel
Abdullah II,Israel
Raleb Majadele,Israel
Meridor,Israel
Munjed Farid Al Qutob London,Iraq
Makovsky,Israel
David Baker,Israel
Hirchson,Israel
Ariel Sharon 's,the West Bank
Aroon Purie,India
Prayer Leonardo da Vinci 's,Italy
Wong,Romania
Cristian Mungiu 's,Romania
King Hussein,Israel
Yitzhak Rabin,Jordan
Ariel Sharon,Israel
Ezer Weizman,Israel
Levi Eshkol,Israel
Ramle,Israel
Götz Aly 's,Germany
Nadezhda Mandelstam,the Soviet Union
Sani Abacha,Nigeria
Ibrahim Babangida,Nigeria
Richard Pearshouse,Canada
Fred Hammond,Nigeria
Meshell Ndegeocello,Nigeria
Femi Kuti,Nigeria
Joan,France
Eric Dupin,France
Lisa Ray,Toronto
Bernard Lagat 's,Russia
Yelena Isinbayeva,Russia
Maurice Greene,Russia
Kemal Onal,Ankara
Guven Akkus,Ankara
Mark Redman,Atlanta
Christopher J. Dodd,Connecticut
Haleh Esfandiari,Iran
Kian Tajbakhsh,Iran
Parnaz Azima,Iran
Margaret Terry Red Evans,Wilmington
Elwyn Evans,Cambridge
Katharine Reese,Washington
Shelley Evans,Bainbridge Island
Lloyd Tilghman Boyd Evans,Bainbridge Island
John Wayne,Iowa
LaVan Davis,China
Curtis Payne,China
Cassi Davis,China
Calvin,China
Lance Gross,China
C. J.,China
Allen Payne,China
C. J. 's,China
Janine,Atlanta
Demetria McKinney,Atlanta
Malik,China
Larramie Doc Shaw,China
Jazmine,China
Anne McClain,Atlanta
Alon Liel,Damascus
Dan Meridor,Damascus
Hapsburgs,Danube
Otto Wagner,Danube
André Desmarais,Canada
Trevor Manuel,South Africa
Wolfowitz,Spain
Dieterich Buxtehude,Sweden
Lorena Ochoa,Mexico
François Bayrou,France
Nadine Gordimer,Pretoria
Chuck Hagel,Vietnam
Joseph R. Biden Jr.,Iraq
Carl Levin,Iraq
Gordon H. Smith,Minnesota
Olympia J. Snowe,Minnesota
McCain,Nebraska
Tommy G. Thompson,Nebraska
Gonzales,Missouri
Warner,Delaware
Olympia Snowe,Nebraska
Joseph R. Biden,Nebraska
Renaud Donnedieu de Vabres,France
Cassius Clay,Louisville
Muhammad Ali,Louisville
Georgia Powers,Kentucky
Laure Manaudou,France
Barbara Kingsolver,Tucson
Rudy Giuliani,Baghdad
Alfred Moisiu,Albania
José María Aznar,Spain
Franco,Spain
Roberts,Mississippi
Klibanoff,Mississippi
Emory Jackson,Mississippi
Hodding Carter,Mississippi
James Jackson Kilpatrick,Mississippi
Thomas Waring,Mississippi
Xavier Florencio,Luxembourg
Kim Kirchen,Spain
Benedict,Germany
Jürgen Klinsmann,Germany
Dacher Keltner,Oakland
Mariano Rajoy,Spain
Rajiv Gandhi,India
Sonia Gandhi,India
Op - Ed,India
Vali Nasr,America
Ray Takeyh,America
Peter Angelos,Baltimore
Marcos Baghdatis,France
Tommy Haas,Chile
Fernando González,Chile
Chipper Jones,Atlanta
Wagoner,India
Javier Conde,Spain
Young,Nigeria
Obasanjo,Nigeria
Alex Szogyi,the United States
Kevin Andrews,Australia
Jerry Robock,N.Y.
Patrice P. Yamato,Florida
Marat Safin,France
Paul - Henri Mathieu,France
Sheldon Whitehouse,Missouri
Claire McCaskill,Missouri
Amy Klobuchar,Minnesota
Blair,Northern Ireland 's
Gerry Adams,Northern Ireland 's
Paisley,Belfast
Elton John,Ukraine
Hicks,Australia
John Howard,Australia
Barack Obama,Australia
Obama,Australia
Steve King,Germany
Graham,Iowa
Klaus Kleinfeld,Germany
Maria Pietilae - Holmner,Italy
Denise Karbon,Sweden
Arman Kirakossian,Armenia
Khajag Barsamian,Armenia
Brian Schweitzer,Montana
Jim Bunning,Kentucky
Ernst Haefliger,Vienna
Giuseppe Verdi,Dunsinane
Francesco Maria Piave,Dunsinane
Lady Macbeth 's,Banquo
Catherine Ndereba,New Zealand
Benita Johnson,Australia
Mara Yamauchi,Australia
Nina Rillstone,Kenya
Fritz Strobl,Switzerland
Bruno Kernen,Austria
Susan Quinn 's,Paris
Marie Curie,Paris
Pierre,Paris
Clinton,Albany
Bill Clinton,Iran
Tim Rogers 's,Australia
Ravi Chopra,India
Isabel Hoving,Australia
Rita Williams - Garcia,Australia
Markus Zusak,Australia
Henry Miller 's,Paris
Hemingway,Paris
Cory Booker,Newark
Frelinghuysen,Newark
Alan Mollohan,Newark
James Laughlin,America
Gretchen Bleiler,Colo.
Sam Querrey,France
Florent Serra,France
Cherry,Canada
Wayne Gretzky,Montreal
Alexander Graham Bell,Canada
John Macdonald,Canada
Shaquille O'Neal,Chicago
Dwyane Wade,Chicago
Andres Nocioni,Miami
Thabo Sefolosha,Miami
Wade,Miami
Ken Griffey Jr.,Florida
Carlos Lee,Florida
Derrek Lee,Cincinnati
Gary Sheffield,Detroit
Bobbi Brown,Montclair
Johnson,Montclair
John Paul,India
Teresa,India
Bertolt Brecht,Germany
Colangelo,Spain
Mitchell,Spain
Andrea Bargnani,Spain
Jorge Garbajosa,Italy
Mohammad Khatami,Iran
Ahmadinejad,Iran
Benedict XVI,Iran
Madeleine Albright,Iran
Rafiq Hariri,Lebanon
Selma,California
A.D. Davis,the Persian Empire
Ferdowsi,Iran
Reza Aslan,Shahnameh
André Boisclair,Canada
Parti Québécois,Canada
George Ellis,South Africa
Tony Rothman,South Africa
Alexander Downer,Australia
Corrado Augias,Italy
Peter Luczak,Australia
Mohammad Soleimani,Iran
Smith,Atlanta
Paul Newman 's,Westport
Michel Nischan,Westport
Paul Newman,Westport
Joseph Cedar,Beaufort
Hamilton,Iran
Ayatollah Ali Khamenei,Iran
Ali Khamenei,Damascus
Snow,Iran
Brian Mullen,Staten Island
Jelena Jankovic,Serbia
Grigoryeva,Mexico
Madaí Pérez,Mexico
Heinrich Heine,Bronx
Segev,Israel
José Sócrates,Portugal
Barbara Amiel,Toronto
Conrad Black,Toronto
LeBron James,Miami
Bingo Smith,Cleveland
LeBron James 's,Cleveland
Gilbert Arenas,Cleveland
Donyell Marshall,Cleveland
Daniel Gibson,Cleveland
Damon Jones,Cleveland
Nets,Miami
Sasha Pavlovic,Cleveland
Oden,Cleveland
LeBron,Durant
Kobe Bryant,Cleveland
Bibby,Cleveland
Alice Waters,London
Dick Bradsell,London
Thomas McNamee 's,Berkeley
Philippe Lucas,France
Kofmehl,Paris
Marks,France
Keller,America
Pranab Mukherjee,Tehran
Letterman,Lillehammer
Ronald Reagan,Manhattan
Barbra Streisand,Manhattan
Chandran,Singapore
Marcy Kaptur,Mexico
Muhammad Salah,Washington
Abdelhaleem Ashqar,Washington
Bloomberg,Jerusalem
Gyorgy Kurtag,Hungary
Endre Szervanszky,Hungary
Laszlo Tihanyi,Hungary
Queen Isabella II,Spain
George Orwell,Spain
Serzh Sarkisyan,Turkey
Berggruen,Paris
Picasso,Germany
Van Gogh,Germany
Cézanne,Germany
Matisse,Germany
Paul Klee,Germany
Hans Arp,Germany
Anna Chakvetadze,Russia
Kleinfeld,Germany
Heinrich von Pierer,Germany
Fred Thompson,Wyoming
Gerald R. Ford,Virginia
Cristian Nemescu,Romania
ANAND,India
Oded Zehavi,Israel
Avner Dorman,Israel
Viswanathan Anand,Norway
Magnus Carlsen,India
Vladimir Kramnik,Russia
Alexander Morozevich,Russia
Peter Svidler,Russia
Tom Douglas,Seattle
Haley Barbour,Mississippi
James R. Thompson,Illinois
Atiku Abubakar,Nigeria
Abubakar,Nigeria
The Georg Büchner Prize,Germany
Martin Mosebach,Germany
Giuseppe Garibaldi,London
Giuseppe Mazzini,London
Lajos Kossuth,London
Carter,South Africa
Desmond Tutu,South Africa
John Dugard,South Africa
Tselem,South Africa
Laurent Merlin,the United States
Rui Fortes,the United States
Farah,Mogadishu
Pedro Costa,Taiwan
Juan J. Daboub,Spain
Ana Palacio,Spain
Mark Mathabane 's,Calif.
Brian Dawkins,Jacksonville
Donovin Darius,Jacksonville
Richard Gere,India
Gere Conciliates,India
Nicole Kidman,Canberra
Lee Stempniak,United States
Jawaharlal Nehru,India
Paul Tergat,Brazil
Stefano Baldini,Brazil
Jaouad Gharib,Brazil
Marilson Gomes,Kenya
Santos,Kenya
Khalid Khannouchi,Ethiopia
Haile Gebrselassie,the United States
Sam Walton,Arkansas
Woodcock,Italy
Harold Arlen,Buffalo
Tremlett,Bilbao
Pedro Almodóvar 's,Penélope Cruz
Dwight Rhoden,Manhattan
James Blake,the United States
Kathleen Sebelius,Iraq
Paul Sussman Rye Brook,India
Shashi Tharoor 's,India
Shashi Tharoor,India
Gabi Ashkenazi,Israel
Jens Voigt,Coralville
Jason McCartney,Coralville
David Ferrer,Spain
Burns,India
Shiv Shankar Menon,India
Filippo Magnini,Italy
Brent Hayden,Italy
Sandy Praeger,Kansas
Edi Rama,Tirana
Zahra Eshraghi,Iran
Ayatollah Ruhollah Khomeini,Iran
Gus Van Sant 's,Portland
Aziz Pahad,South Africa 's
Tyler,Belfast
Kiran Desai,Belfast
Rachel Cusk,Britain
Jane Harris,India
Xiaolu Guo,India
Lulzim Basha,the United States
Faik Konica,Albania
Ernest Hemingway,Baltimore
